Thomas/020013.cha	697	MOT	I think that is why you have got a_lot_of trains .
Thomas/020016.cha	316	MOT	oh why has she gotta CLITIC do it on her own ?
Thomas/020016.cha	504	MOT	why are you marching up and down with those ?
Thomas/020016.cha	958	MOT	why is Thomas tutting ?
Thomas/020018.cha	242	MOT	and why have you taken that off ?
Thomas/020020.cha	1388	MOT	why ?
Thomas/020023.cha	1097	MOT	that's CLITIC why you're CLITIC saying much .
Thomas/020023.cha	1195	MOT	that's CLITIC why Mummy used it to scrub the patio outside .
Thomas/020026.cha	16	MOT	it's CLITIC probably why there isn't CLITIC so much in it .
Thomas/020103.cha	242	MOT	there's CLITIC no wonder why Mummy's hair always looks mess „ is there ?
Thomas/020104.cha	525	MOT	why are you saying juice oh dear ?
Thomas/020105.cha	13	MOT	why have you done that ?
Thomas/020105.cha	15	MOT	why have you done that ?
Thomas/020105.cha	409	MOT	why are you saying oh dear ?
Thomas/020105.cha	480	MOT	why don't CLITIC you have a piece of lettuce ?
Thomas/020105.cha	652	MOT	well why did you giggle ?
Thomas/020106.cha	7	MOT	why are you smacking Mummy ?
Thomas/020106.cha	24	MOT	why have you done that ?
Thomas/020107.cha	609	MOT	why do you do that ?
Thomas/020107.cha	1106	MOT	why are you banging your head ?
Thomas/020107.cha	1160	MOT	that's CLITIC why she's CLITIC sitting under the table .
Thomas/020107.cha	1411	MOT	why are you saying no I'll CLITIC not pull her tail and looking so cheeky , Thomas ?
Thomas/020108.cha	818	MOT	it's CLITIC probably why they keep falling down , Thomas .
Thomas/020108.cha	1366	MOT	why are you saying Pooh ?
Thomas/020108.cha	1432	MOT	why did Thomas give a big sigh ?
Thomas/020109.cha	788	MOT	I don't CLITIC know why you're CLITIC saying oh dear juice because you threw it , Thomas .
Thomas/020114.cha	250	MOT	this is why Mummy hasta CLITIC wash your train two or three times a day .
Thomas/020114.cha	942	MOT	which is why she can't CLITIC talk because she has got a mouthful of food .
Thomas/020115.cha	346	MOT	why ?
Thomas/020115.cha	511	MOT	why don't CLITIC you want them , Thomas ?
Thomas/020115.cha	776	MOT	why do you keep talking about a blue football ?
Thomas/020115.cha	780	MOT	why did you say the blue football ?
Thomas/020115.cha	933	MOT	why are you talking about chip shops ?
Thomas/020115.cha	941	MOT	and I don't CLITIC know why you're CLITIC talking about chip shops .
Thomas/020115.cha	997	MOT	why do you keep talking about a blue football ?
Thomas/020115.cha	1016	MOT	is that why you're CLITIC not really hungry ?
Thomas/020115.cha	1131	MOT	so that's CLITIC why we do it .
Thomas/020115.cha	1453	MOT	you were saying wow because the food cupboard was open but I don't CLITIC know why you said Nana wow .
Thomas/020115.cha	1476	MOT	why are you doing that ?
Thomas/020116.cha	5	MOT	why are you saying oh dear ?
Thomas/020116.cha	92	MOT	why are you saying oh dear ?
Thomas/020116.cha	307	MOT	why are you saying oh dear ?
Thomas/020116.cha	529	MOT	the bag feels wet and I don't CLITIC know why .
Thomas/020116.cha	893	MOT	why are you saying oh ?
Thomas/020116.cha	1430	MOT	why are you saying oh dear ?
Thomas/020117.cha	483	MOT	why are you sighing ?
Thomas/020117.cha	524	MOT	is that why you're CLITIC making that noise ?
